tourney_name,tourney_date,winner_id,winner_name,winner_ioc
Adelaide,1974-10-27,100229.0,Dick Stockton,USA
Maui,1974-10-06,100087.0,John Newcombe,AUS
Masters,1974-12-10,100282.0,Guillermo Vilas,ARG
Bournemouth,1975-05-12,100174.0,Manuel Orantes,ESP
Barcelona WCT,1975-02-17,100074.0,Arthur Ashe,USA
Columbus,1975-08-18,100321.0,Vijay Amritraj,IND
Australian Open,1974-12-21,100087.0,John Newcombe,AUS
Caracas WCT,1975-03-17,100029.0,Rod Laver,AUS
London WCT,1975-03-04,100073.0,Mark Cox,GBR
Houston,1975-04-21,100016.0,Ken Rosewall,AUS
Denver WCT,1975-04-14,100284.0,Jimmy Connors,USA
Florence,1975-05-10,100249.0,Paolo Bertolucci,ITA
Gstaad,1975-07-07,100016.0,Ken Rosewall,AUS
Hilversum,1975-07-20,100282.0,Guillermo Vilas,ARG
Bastad,1975-07-07,100174.0,Manuel Orantes,ESP
Kitzbuhel,1975-07-13,100214.0,Adriano Panatta,ITA
Johannesburg,1975-11-17,100286.0,Harold Solomon,USA
South Orange,1975-08-26,100119.0,Ilie Nastase,ROU
North Conway,1975-08-04,100284.0,Jimmy Connors,USA
London,1975-11-15,100232.0,Eddie Dibbs,USA
Bermuda,1975-09-21,100284.0,Jimmy Connors,USA
Washington,1975-07-21,100282.0,Guillermo Vilas,ARG
Indianapolis,1975-08-04,100174.0,Manuel Orantes,ESP
Rome,1975-05-25,100309.0,Raul Ramirez,MEX
Boston,1975-08-26,100437.0,Bjorn Borg,SWE
Hamburg,1975-05-19,100174.0,Manuel Orantes,ESP
Atlanta WCT,1975-03-24,100073.0,Mark Cox,GBR
Las Vegas,1975-05-12,100255.0,Roscoe Tanner,USA
Monte Carlo WCT,1975-03-23,100174.0,Manuel Orantes,ESP
Chicago,1975-07-20,100255.0,Roscoe Tanner,USA
Salisbury,1975-02-10,100284.0,Jimmy Connors,USA
Nottingham,1975-06-16,100084.0,Tom Okker,NED
Paris Indoor,1975-10-27,100084.0,Tom Okker,NED
Madrid,1975-10-12,100113.0,Jan Kodes,CZE
St. Petersburg WCT,1975-02-03,100309.0,Raul Ramirez,MEX
San Antonio WCT,1975-02-23,100229.0,Dick Stockton,USA
Roland Garros,1975-06-04,100437.0,Bjorn Borg,SWE
Madrid,1975-04-27,100119.0,Ilie Nastase,ROU
Istanbul,1975-07-20,100377.0,Colin Dowdeswell,GBR
New York,1975-03-17,100342.0,Vitas Gerulaitis,USA
La Costa WCT,1975-02-17,100029.0,Rod Laver,AUS
Baltimore,1975-01-18,100261.0,Brian Gottfried,USA
Tehran,1975-10-26,100232.0,Eddie Dibbs,USA
Boca Raton,1975-02-17,100284.0,Jimmy Connors,USA
Manila,1975-10-27,100257.0,Ross Case,AUS
Perth,1975-10-26,100286.0,Harold Solomon,USA
Dayton Indoor,1975-01-28,100261.0,Brian Gottfried,USA
Washington Indoor WCT,1975-03-10,100073.0,Mark Cox,GBR
US Open,1975-08-27,100174.0,Manuel Orantes,ESP
Memphis,1975-03-17,100286.0,Harold Solomon,USA
